Phase,Pillar,Score,Max
PSF,Customer Discovery,15,20
PSF,Solution Validation,15,25
PSF,Early Traction,30,30
PSF,Product Iteration,10,15
PSF,Compliance & Docs,10,10
PMF,ICP Sharpening,15,20
PMF,Channel Validation,20,25
PMF,Revenue Growth,20,25
PMF,Retention & Expansion,5,15
PMF,Operational Readiness,10,15
GTM,ICP & Customer Segments,20,20
GTM,Channel Performance,20,25
GTM,Pipeline & Conversion,20,25
GTM,Pricing & Revenue Growth,10,20
GTM,Operations & Fulfilment,8,10
Revenue,Pricing Clarity,25,25
Revenue,Revenue Streams,25,25
Revenue,Unit Economics,25,25
Revenue,Recurring Revenue,0,15
Revenue,Financial Forecasting,10,10
Funding,Revenue Performance,25,25
Funding,Unit Economics,25,25
Funding,Financial Hygiene,20,20
Funding,Fundraising Readiness,20,20
Funding,Capital Readiness,10,10
